time,P
2022-04-27 15:30:06.3710,99948.2
2022-04-27 15:30:07.3450,99947.97
2022-04-27 15:30:08.3160,99948.2
2022-04-27 15:30:09.2880,100917.72
2022-04-27 15:30:10.2600,103116.42
2022-04-27 15:30:11.2320,105489.56
2022-04-27 15:30:12.2100,107865.23
2022-04-27 15:30:13.1750,110244.31
2022-04-27 15:30:14.1480,111871.09
2022-04-27 15:30:15.1200,112106.93
2022-04-27 15:30:16.0900,112111.81
2022-04-27 15:30:17.0620,112111.81
2022-04-27 15:30:18.0350,112110.11
2022-04-27 15:30:19.0100,111038.66
2022-04-27 15:30:19.9770,108665.55
2022-04-27 15:30:20.9520,106292.49
2022-04-27 15:30:21.9210,103918.09
2022-04-27 15:30:22.8930,101542.84
2022-04-27 15:30:23.8660,99951.94
2022-04-27 15:30:24.8400,99948.43
2022-04-27 15:30:25.8110,99945.09
2022-04-27 15:30:26.7800,99945.09
2022-04-27 15:30:27.7530,100236.42
2022-04-27 15:30:28.7260,100665.15
2022-04-27 15:30:29.6990,101659.56
2022-04-27 15:30:30.6690,103010.93
2022-04-27 15:30:31.6420,104244.61
2022-04-27 15:30:32.6160,105225.3
2022-04-27 15:30:33.5930,106152.49
2022-04-27 15:30:34.5580,106552.58
2022-04-27 15:30:35.5320,106552.58
2022-04-27 15:30:36.5050,105669.41
2022-04-27 15:30:37.4770,104436.19
2022-04-27 15:30:38.4470,103122.44
2022-04-27 15:30:39.4990,101809.94
2022-04-27 15:30:40.4070,100457.5
2022-04-27 15:30:41.3650,99943.66
2022-04-27 15:30:42.3530,99942.95
2022-04-27 15:30:43.3120,99942.88
2022-04-27 15:30:44.2880,99941.26
2022-04-27 15:30:45.2650,99941.26
2022-04-27 15:30:46.2330,99941.35
