time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-04-27 12:13:19.9540,-0.021,0.979,-0.096,0.51,0.03,0.0,-0.09,0.63,-0.03
2022-04-27 12:13:19.9650,-0.029,0.987,-0.136,0.77,0.17,0.18,-0.34,-0.15,-0.17
2022-04-27 12:13:19.9740,-0.033,1.027,-0.165,0.8,-0.01,0.61,-0.51,-0.85,-0.28
2022-04-27 12:13:19.9840,-0.033,1.053,-0.176,0.8,-0.4,0.9,-0.63,-1.36,-0.38
2022-04-27 12:13:19.9950,-0.017,1.055,-0.163,0.71,-0.58,1.01,-0.73,-1.69,-0.49
2022-04-27 12:13:20.0050,0.008,1.048,-0.145,0.46,-0.55,0.91,-0.78,-1.82,-0.55
2022-04-27 12:13:20.0140,0.029,1.042,-0.131,0.16,-0.49,0.82,-0.77,-1.76,-0.56
2022-04-27 12:13:20.0250,0.044,1.021,-0.124,-0.09,-0.39,0.76,-0.71,-1.62,-0.53
2022-04-27 12:13:20.0340,0.066,1.007,-0.125,-0.31,-0.17,0.78,-0.63,-1.52,-0.46
2022-04-27 12:13:20.0440,0.078,0.999,-0.133,-0.58,-0.06,0.86,-0.54,-1.5,-0.35
2022-04-27 12:13:20.0550,0.072,0.977,-0.138,-0.67,0.04,1.01,-0.45,-1.51,-0.23
2022-04-27 12:13:20.0650,0.054,0.958,-0.119,-0.61,0.28,1.04,-0.36,-1.45,-0.13
2022-04-27 12:13:20.0740,0.033,0.95,-0.096,-0.43,0.43,0.86,-0.26,-1.35,-0.04
2022-04-27 12:13:20.0850,0.026,0.948,-0.071,-0.25,0.49,0.66,-0.18,-1.19,0.04
2022-04-27 12:13:20.0950,0.031,0.948,-0.055,-0.21,0.51,0.43,-0.1,-1.05,0.1
2022-04-27 12:13:20.1050,0.034,0.96,-0.049,-0.27,0.48,0.32,-0.06,-0.98,0.14
2022-04-27 12:13:20.1150,0.016,0.987,-0.045,-0.26,0.34,0.27,-0.06,-0.92,0.2
2022-04-27 12:13:20.1240,-0.057,1.031,-0.038,0.12,0.02,0.24,-0.06,-0.9,0.19
2022-04-27 12:13:20.1320,-0.044,1.067,-0.04,0.67,-0.42,0.2,-0.07,-0.89,0.11
2022-04-27 12:13:20.1430,-0.043,1.075,-0.024,0.5,-0.7,0.17,-0.08,-0.9,-0.02
2022-04-27 12:13:20.1530,-0.071,1.07,-0.021,0.57,-0.73,0.04,-0.1,-0.99,-0.16
2022-04-27 12:13:20.1640,-0.098,1.054,-0.037,0.84,-0.67,0.07,-0.09,-1.2,-0.3
2022-04-27 12:13:20.1740,-0.132,1.029,-0.046,1.1,-0.47,0.26,-0.07,-1.39,-0.45
2022-04-27 12:13:20.1840,-0.125,1.017,-0.046,1.32,-0.25,0.29,-0.03,-1.52,-0.58
2022-04-27 12:13:20.1940,-0.089,0.999,-0.048,1.09,-0.14,0.33,0.01,-1.47,-0.67
2022-04-27 12:13:20.2040,-0.048,0.976,-0.019,0.63,0.06,0.29,0.04,-1.18,-0.73
2022-04-27 12:13:20.2140,-0.021,0.963,0.001,0.19,0.27,-0.04,0.07,-0.81,-0.76
2022-04-27 12:13:20.2240,0.002,0.959,-0.002,-0.14,0.36,-0.16,0.14,-0.49,-0.75
2022-04-27 12:13:20.2340,0.023,0.951,-0.026,-0.43,0.41,-0.1,0.23,-0.36,-0.73
2022-04-27 12:13:20.2430,0.038,0.951,-0.048,-0.7,0.48,0.14,0.32,-0.32,-0.67
2022-04-27 12:13:20.2530,0.042,0.957,-0.049,-0.88,0.45,0.26,0.4,-0.32,-0.6
2022-04-27 12:13:20.2640,0.046,0.962,-0.051,-0.98,0.38,0.23,0.46,-0.32,-0.5
2022-04-27 12:13:20.2730,0.049,0.965,-0.046,-1.06,0.33,0.19,0.52,-0.32,-0.39
2022-04-27 12:13:20.2840,0.052,0.963,-0.045,-1.13,0.32,0.09,0.56,-0.32,-0.26
2022-04-27 12:13:20.2930,0.055,0.955,-0.044,-1.18,0.34,0.04,0.59,-0.31,-0.12
2022-04-27 12:13:20.3030,0.058,0.944,-0.037,-1.21,0.44,-0.05,0.59,-0.31,0.05
2022-04-27 12:13:20.3140,0.059,0.94,-0.033,-1.24,0.52,-0.17,0.58,-0.3,0.2
2022-04-27 12:13:20.3230,0.056,0.949,-0.032,-1.21,0.54,-0.25,0.56,-0.29,0.35
2022-04-27 12:13:20.3330,0.053,0.978,-0.029,-1.15,0.4,-0.32,0.52,-0.28,0.49
2022-04-27 12:13:20.3430,0.05,1.011,-0.026,-1.07,0.08,-0.39,0.45,-0.27,0.61
2022-04-27 12:13:20.3530,0.047,1.028,-0.021,-0.98,-0.21,-0.47,0.37,-0.26,0.72
2022-04-27 12:13:20.3630,0.044,1.036,-0.018,-0.87,-0.34,-0.54,0.27,-0.26,0.81
2022-04-27 12:13:20.3730,0.038,1.04,-0.016,-0.77,-0.41,-0.59,0.18,-0.25,0.87
2022-04-27 12:13:20.3830,0.029,1.036,-0.017,-0.62,-0.43,-0.61,0.07,-0.26,0.89
2022-04-27 12:13:20.3930,0.021,1.027,-0.016,-0.44,-0.37,-0.61,-0.05,-0.26,0.89
2022-04-27 12:13:20.4030,0.013,1.026,-0.014,-0.28,-0.29,-0.63,-0.16,-0.26,0.86
2022-04-27 12:13:20.4120,0.008,1.026,-0.015,-0.13,-0.29,-0.61,-0.27,-0.27,0.81
2022-04-27 12:13:20.4230,0.001,1.022,-0.018,0.0,-0.28,-0.57,-0.37,-0.28,0.73
2022-04-27 12:13:20.4320,-0.005,1.029,-0.022,0.13,-0.25,-0.5,-0.45,-0.29,0.63
2022-04-27 12:13:20.4410,-0.006,1.038,-0.025,0.24,-0.33,-0.42,-0.51,-0.31,0.51
2022-04-27 12:13:20.4520,-0.007,1.044,-0.028,0.29,-0.42,-0.34,-0.55,-0.32,0.4
2022-04-27 12:13:20.4620,-0.009,1.048,-0.032,0.34,-0.46,-0.25,-0.58,-0.32,0.28
2022-04-27 12:13:20.4720,-0.009,1.05,-0.035,0.37,-0.5,-0.16,-0.6,-0.33,0.15
2022-04-27 12:13:20.4830,-0.01,1.046,-0.04,0.39,-0.5,-0.07,-0.58,-0.33,0.03
2022-04-27 12:13:20.4920,-0.009,1.042,-0.043,0.39,-0.46,0.03,-0.55,-0.33,-0.08
2022-04-27 12:13:20.5020,-0.005,1.042,-0.047,0.36,-0.42,0.11,-0.5,-0.33,-0.17
2022-04-27 12:13:20.5130,-0.0,1.044,-0.049,0.3,-0.43,0.19,-0.43,-0.33,-0.24
2022-04-27 12:13:20.5220,0.008,1.042,-0.053,0.22,-0.44,0.25,-0.34,-0.32,-0.29
2022-04-27 12:13:20.5320,0.015,1.041,-0.056,0.11,-0.42,0.33,-0.24,-0.33,-0.31
2022-04-27 12:13:20.5420,0.021,1.04,-0.058,0.01,-0.41,0.37,-0.14,-0.32,-0.3
2022-04-27 12:13:20.5520,0.029,1.04,-0.058,-0.08,-0.4,0.4,-0.04,-0.32,-0.27
2022-04-27 12:13:20.5610,0.035,1.036,-0.057,-0.18,-0.4,0.4,0.05,-0.32,-0.23
2022-04-27 12:13:20.5720,0.039,1.022,-0.055,-0.25,-0.34,0.38,0.14,-0.32,-0.15
2022-04-27 12:13:20.5820,0.044,1.001,-0.053,-0.31,-0.18,0.35,0.21,-0.31,-0.07
2022-04-27 12:13:20.5910,0.045,0.971,-0.049,-0.36,0.04,0.29,0.28,-0.31,0.03
2022-04-27 12:13:20.6020,0.045,0.942,-0.049,-0.35,0.36,0.24,0.34,-0.31,0.12
2022-04-27 12:13:20.6110,0.046,0.925,-0.045,-0.35,0.61,0.2,0.38,-0.31,0.22
2022-04-27 12:13:20.6210,0.044,0.919,-0.04,-0.32,0.75,0.12,0.4,-0.3,0.32
2022-04-27 12:13:20.6320,0.043,0.928,-0.037,-0.28,0.77,0.03,0.4,-0.29,0.39
2022-04-27 12:13:20.6400,0.038,0.947,-0.034,-0.21,0.65,-0.04,0.39,-0.29,0.46
2022-04-27 12:13:20.6510,0.034,0.965,-0.03,-0.12,0.46,-0.11,0.35,-0.28,0.51
2022-04-27 12:13:20.6610,0.031,0.976,-0.025,-0.04,0.29,-0.18,0.29,-0.28,0.56
2022-04-27 12:13:20.6710,0.028,0.972,-0.024,0.04,0.21,-0.25,0.23,-0.27,0.57
2022-04-27 12:13:20.6810,0.022,0.965,-0.023,0.13,0.27,-0.28,0.17,-0.27,0.57
2022-04-27 12:13:20.6920,0.016,0.965,-0.024,0.25,0.32,-0.3,0.11,-0.27,0.55
2022-04-27 12:13:20.7010,0.01,0.982,-0.023,0.37,0.28,-0.3,0.03,-0.28,0.5
2022-04-27 12:13:20.7110,0.007,1.006,-0.021,0.46,0.08,-0.32,-0.05,-0.28,0.45
2022-04-27 12:13:20.7210,0.005,1.016,-0.018,0.52,-0.14,-0.34,-0.14,-0.29,0.38
2022-04-27 12:13:20.7300,0.002,1.01,-0.021,0.58,-0.2,-0.33,-0.22,-0.29,0.3
2022-04-27 12:13:20.7410,-0.001,0.992,-0.025,0.63,-0.11,-0.28,-0.28,-0.3,0.22
2022-04-27 12:13:20.7510,-0.002,0.97,-0.026,0.68,0.09,-0.22,-0.33,-0.3,0.14
2022-04-27 12:13:20.7610,-0.002,0.949,-0.027,0.69,0.31,-0.18,-0.37,-0.31,0.06
2022-04-27 12:13:20.7700,-0.002,0.939,-0.028,0.7,0.5,-0.14,-0.4,-0.31,-0.02
2022-04-27 12:13:20.7810,-0.002,0.938,-0.032,0.7,0.57,-0.08,-0.42,-0.31,-0.1
2022-04-27 12:13:20.7910,0.0,0.955,-0.035,0.67,0.55,-0.01,-0.42,-0.31,-0.16
