time,P
2022-04-29 17:19:44.2160,99917.08
2022-04-29 17:19:45.1750,99917.08
2022-04-29 17:19:46.1340,99919.67
2022-04-29 17:19:47.0980,99919.67
2022-04-29 17:19:48.0500,99917.59
2022-04-29 17:19:49.0080,99917.53
2022-04-29 17:19:49.9770,99917.59
2022-04-29 17:19:50.9220,99919.85
2022-04-29 17:19:51.8810,99923.24
2022-04-29 17:19:52.8370,99923.24
2022-04-29 17:19:53.7960,99922.3
2022-04-29 17:19:54.7540,99921.3
2022-04-29 17:19:55.7090,99917.47
2022-04-29 17:19:56.6690,99908.65
2022-04-29 17:19:57.6370,99906.07
2022-04-29 17:19:58.5830,99903.69
2022-04-29 17:19:59.5430,99900.89
2022-04-29 17:20:00.4970,99900.89
2022-04-29 17:20:01.4580,99905.61
2022-04-29 17:20:02.4180,99930.11
2022-04-29 17:20:03.3700,100061.68
2022-04-29 17:20:04.3270,100188.67
2022-04-29 17:20:05.2910,100326.42
2022-04-29 17:20:06.2430,100465.16
2022-04-29 17:20:07.1980,100614.75
2022-04-29 17:20:08.1770,100671.78
2022-04-29 17:20:09.1170,100866.54
2022-04-29 17:20:10.0720,101244.02
2022-04-29 17:20:11.0300,101660.54
2022-04-29 17:20:11.9870,102354.2
2022-04-29 17:20:12.9490,103447.62
2022-04-29 17:20:13.9020,104865.75
2022-04-29 17:20:14.8600,106624.69
2022-04-29 17:20:15.8300,108457.31
2022-04-29 17:20:16.7770,110020.15
2022-04-29 17:20:17.7340,111160.87
2022-04-29 17:20:18.6900,111875.02
2022-04-29 17:20:19.6480,112035.99
2022-04-29 17:20:20.6030,112035.99
2022-04-29 17:20:21.5610,112035.99
2022-04-29 17:20:22.5220,112041.8
2022-04-29 17:20:23.4860,112041.8
2022-04-29 17:20:24.4350,112035.13
2022-04-29 17:20:25.3930,112034.22
2022-04-29 17:20:26.3500,112034.22
2022-04-29 17:20:27.3050,112034.44
2022-04-29 17:20:28.2610,112035.71
2022-04-29 17:20:29.2210,112042.73
2022-04-29 17:20:30.1760,112045.18
2022-04-29 17:20:31.1330,112047.6
2022-04-29 17:20:32.0900,112050.7
2022-04-29 17:20:33.0440,112054.93
2022-04-29 17:20:34.0010,112060.65
2022-04-29 17:20:34.9590,112060.65
2022-04-29 17:20:35.9230,112009.67
2022-04-29 17:20:36.8740,111761.41
2022-04-29 17:20:37.8290,111271.54
2022-04-29 17:20:38.7940,110470.34
2022-04-29 17:20:39.7440,109189.49
2022-04-29 17:20:40.7000,107505.21
2022-04-29 17:20:41.6590,105745.08
2022-04-29 17:20:42.6130,104105.84
2022-04-29 17:20:43.5720,102760.74
2022-04-29 17:20:44.5280,101867.52
2022-04-29 17:20:45.4830,101438.39
2022-04-29 17:20:46.4490,101286.58
2022-04-29 17:20:47.3980,101252.04
2022-04-29 17:20:48.3520,101199.42
2022-04-29 17:20:49.3130,101168.02
2022-04-29 17:20:50.2690,101131.08
2022-04-29 17:20:51.2220,101090.01
2022-04-29 17:20:52.1790,101059.0
2022-04-29 17:20:53.1350,101024.69
2022-04-29 17:20:54.1050,100982.79
2022-04-29 17:20:55.0460,100923.79
2022-04-29 17:20:56.0040,100896.4
2022-04-29 17:20:56.9550,100892.91
2022-04-29 17:20:57.9130,100757.9
2022-04-29 17:20:58.8680,100572.46
2022-04-29 17:20:59.8290,100401.3
2022-04-29 17:21:00.7860,100206.41
2022-04-29 17:21:01.7430,99989.28
2022-04-29 17:21:02.6980,99908.97
2022-04-29 17:21:03.6530,99904.01
2022-04-29 17:21:04.6090,99904.01
2022-04-29 17:21:05.5640,99905.54
2022-04-29 17:21:06.5320,99915.18
2022-04-29 17:21:07.4830,99923.92
