time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
2022-04-27 11:44:29.9520,-0.13,-0.902,-0.324,0.52,-0.21,-0.67,0.1,0.04,0.09,100320.015
2022-04-27 11:44:29.9600,-0.071,-0.927,-0.331,-0.04,0.07,-0.72,0.13,0.05,0.11,100320.015
2022-04-27 11:44:29.9700,-0.066,-0.924,-0.342,-0.23,0.14,-0.59,0.11,0.03,0.11,100320.015
2022-04-27 11:44:29.9800,-0.064,-0.924,-0.353,-0.25,0.08,-0.49,0.07,0.0,0.13,100320.015
2022-04-27 11:44:29.9900,-0.057,-0.93,-0.36,-0.31,0.15,-0.38,0.06,-0.03,0.13,100320.015
2022-04-27 11:44:29.9990,-0.045,-0.923,-0.361,-0.44,0.13,-0.36,0.06,-0.05,0.13,100320.015
2022-04-27 11:44:30.0100,-0.048,-0.915,-0.361,-0.49,0.04,-0.34,0.06,-0.07,0.12,100320.015
2022-04-27 11:44:30.0190,-0.061,-0.912,-0.355,-0.39,-0.02,-0.4,0.06,-0.08,0.1,100320.015
2022-04-27 11:44:30.0290,-0.074,-0.914,-0.36,-0.27,-0.02,-0.38,0.06,-0.09,0.09,100320.015
2022-04-27 11:44:30.0390,-0.083,-0.921,-0.363,-0.18,0.04,-0.32,0.07,-0.11,0.07,100320.015
2022-04-27 11:44:30.0500,-0.091,-0.917,-0.354,-0.11,0.06,-0.35,0.05,-0.11,0.06,100320.015
2022-04-27 11:44:30.0590,-0.105,-0.909,-0.36,-0.01,-0.04,-0.37,0.07,-0.09,0.02,100320.015
2022-04-27 11:44:30.0690,-0.115,-0.909,-0.358,0.12,-0.06,-0.3,0.07,-0.09,0.02,100320.015
2022-04-27 11:44:30.0790,-0.107,-0.907,-0.34,0.1,-0.08,-0.44,0.06,-0.09,0.01,100320.015
2022-04-27 11:44:30.0890,-0.09,-0.914,-0.35,-0.05,-0.06,-0.48,0.06,-0.07,-0.03,100320.015
2022-04-27 11:44:30.0990,-0.08,-0.933,-0.353,-0.18,0.1,-0.36,0.06,-0.07,-0.03,100320.015
2022-04-27 11:44:30.1090,-0.08,-0.935,-0.347,-0.22,0.2,-0.4,0.09,-0.04,-0.02,100320.015
2022-04-27 11:44:30.1190,-0.1,-0.933,-0.342,-0.08,0.15,-0.46,0.11,-0.02,-0.02,100320.015
2022-04-27 11:44:30.1290,-0.117,-0.937,-0.356,0.12,0.19,-0.37,0.15,-0.02,-0.01,100320.015
2022-04-27 11:44:30.1390,-0.11,-0.939,-0.352,0.14,0.2,-0.29,0.17,-0.01,-0.01,100320.015
2022-04-27 11:44:30.1490,-0.096,-0.941,-0.349,0.01,0.21,-0.37,0.17,0.02,-0.01,100320.015
2022-04-27 11:44:30.1590,-0.085,-0.946,-0.363,-0.11,0.24,-0.23,0.18,0.02,-0.0,100320.015
2022-04-27 11:44:30.1690,-0.084,-0.954,-0.357,-0.17,0.3,-0.2,0.18,0.02,-0.0,100320.015
2022-04-27 11:44:30.1790,-0.087,-0.963,-0.355,-0.14,0.39,-0.24,0.18,0.03,0.02,100320.015
2022-04-27 11:44:30.1890,-0.096,-0.97,-0.353,-0.07,0.45,-0.23,0.18,0.03,0.04,100320.015
2022-04-27 11:44:30.1990,-0.106,-0.978,-0.351,0.03,0.52,-0.24,0.18,0.03,0.04,100320.015
2022-04-27 11:44:30.2090,-0.107,-0.976,-0.349,0.07,0.54,-0.24,0.18,0.04,0.05,100320.015
2022-04-27 11:44:30.2190,-0.108,-0.96,-0.349,0.08,0.44,-0.23,0.21,0.07,0.06,100320.015
2022-04-27 11:44:30.2280,-0.099,-0.943,-0.343,0.03,0.24,-0.25,0.23,0.09,0.05,100320.015
2022-04-27 11:44:30.2380,-0.082,-0.927,-0.342,-0.12,0.09,-0.27,0.24,0.1,0.04,100320.015
2022-04-27 11:44:30.2480,-0.075,-0.91,-0.35,-0.24,-0.12,-0.2,0.24,0.1,0.04,100320.015
2022-04-27 11:44:30.2580,-0.08,-0.923,-0.358,-0.23,-0.11,-0.07,0.27,0.11,0.03,100320.015
2022-04-27 11:44:30.2680,-0.097,-0.934,-0.346,-0.11,0.04,-0.1,0.27,0.11,0.03,100320.015
2022-04-27 11:44:30.2780,-0.125,-0.952,-0.342,0.16,0.11,-0.2,0.28,0.09,0.0,100320.015
2022-04-27 11:44:30.2880,-0.119,-0.971,-0.333,0.24,0.4,-0.14,0.24,0.09,-0.02,100320.015
2022-04-27 11:44:30.2980,-0.112,-0.955,-0.305,0.13,0.29,-0.43,0.23,0.09,-0.04,100320.015
2022-04-27 11:44:30.3080,-0.109,-0.95,-0.317,0.12,0.21,-0.42,0.22,0.07,-0.06,100320.015
2022-04-27 11:44:30.3180,-0.092,-0.936,-0.322,0.02,0.09,-0.27,0.21,0.06,-0.05,100320.015
2022-04-27 11:44:30.3280,-0.088,-0.93,-0.329,-0.1,-0.01,-0.25,0.18,0.02,-0.05,100320.015
2022-04-27 11:44:30.3380,-0.099,-0.918,-0.34,-0.01,-0.1,-0.09,0.16,-0.01,-0.06,100320.015
2022-04-27 11:44:30.3480,-0.097,-0.913,-0.328,0.03,-0.21,-0.12,0.16,0.05,-0.07,100320.015
2022-04-27 11:44:30.3580,-0.101,-0.913,-0.289,0.03,-0.2,-0.35,0.15,0.08,-0.08,100320.015
2022-04-27 11:44:30.3680,-0.099,-0.915,-0.289,0.09,-0.23,-0.69,0.16,0.06,-0.08,100320.015
2022-04-27 11:44:30.3780,-0.084,-0.932,-0.328,-0.05,-0.1,-0.19,0.13,0.01,-0.07,100320.015
2022-04-27 11:44:30.3870,-0.069,-0.937,-0.32,-0.18,0.0,-0.14,0.13,0.01,-0.07,100352.196
2022-04-27 11:44:30.3970,-0.063,-0.941,-0.336,-0.27,0.01,-0.16,0.1,-0.01,-0.05,100352.196
2022-04-27 11:44:30.4080,-0.067,-0.954,-0.331,-0.26,0.12,0.06,0.06,0.02,-0.04,100352.196
2022-04-27 11:44:30.4170,-0.074,-0.949,-0.292,-0.19,0.16,-0.4,0.04,0.07,-0.03,100352.196
2022-04-27 11:44:30.4270,-0.082,-0.941,-0.314,-0.12,0.06,-0.29,0.1,0.16,-0.02,100352.196
