time,P
2022-04-27 15:21:46.7670,99953.82
2022-04-27 15:21:47.7410,99950.36
2022-04-27 15:21:48.7180,99948.85
2022-04-27 15:21:49.6910,99948.84
2022-04-27 15:21:50.6650,99948.7
2022-04-27 15:21:51.6400,99948.7
2022-04-27 15:21:52.6120,100167.21
2022-04-27 15:21:53.5870,101690.26
2022-04-27 15:21:54.5600,103776.93
2022-04-27 15:21:55.5340,105885.05
2022-04-27 15:21:56.5100,108020.77
2022-04-27 15:21:57.4820,110063.29
2022-04-27 15:21:58.4540,110063.29
2022-04-27 15:21:59.4290,109029.91
2022-04-27 15:22:00.4030,106925.35
2022-04-27 15:22:01.3810,104793.75
2022-04-27 15:22:02.3520,102645.89
2022-04-27 15:22:03.3240,100592.34
2022-04-27 15:22:04.2970,99960.02
2022-04-27 15:22:05.2710,99958.34
2022-04-27 15:22:06.2450,99957.75
2022-04-27 15:22:07.2200,99957.02
2022-04-27 15:22:08.1910,99953.54
2022-04-27 15:22:09.1650,99953.54
2022-04-27 15:22:10.1390,100067.56
2022-04-27 15:22:11.1110,101738.34
2022-04-27 15:22:12.0850,103800.38
2022-04-27 15:22:13.0570,105871.73
2022-04-27 15:22:14.0320,107861.04
2022-04-27 15:22:15.0070,109652.55
2022-04-27 15:22:15.9770,109652.55
2022-04-27 15:22:16.9490,109624.48
2022-04-27 15:22:17.9210,109292.42
2022-04-27 15:22:18.8940,108863.19
2022-04-27 15:22:19.8660,108417.75
2022-04-27 15:22:20.8440,107605.32
2022-04-27 15:22:21.8120,106181.11
2022-04-27 15:22:22.7850,104468.96
2022-04-27 15:22:23.7600,102870.72
2022-04-27 15:22:24.7330,101465.14
2022-04-27 15:22:25.7050,100424.24
2022-04-27 15:22:26.6780,100011.24
2022-04-27 15:22:27.6500,99977.39
2022-04-27 15:22:28.6230,99977.39
2022-04-27 15:22:29.5970,99983.57
2022-04-27 15:22:30.5690,99984.48
2022-04-27 15:22:31.5410,99984.48
2022-04-27 15:22:32.5160,99983.52
2022-04-27 15:22:33.4870,99979.25
2022-04-27 15:22:34.4590,99979.25
2022-04-27 15:22:35.4340,100769.7
2022-04-27 15:22:36.4050,102603.86
2022-04-27 15:22:37.3830,104780.49
2022-04-27 15:22:38.3540,107025.67
2022-04-27 15:22:39.3220,109280.81
2022-04-27 15:22:40.2950,110917.95
2022-04-27 15:22:41.2680,111391.33
2022-04-27 15:22:42.2410,111445.08
2022-04-27 15:22:43.2170,111445.08
2022-04-27 15:22:44.1860,111176.99
2022-04-27 15:22:45.1580,110083.65
2022-04-27 15:22:46.1330,108169.7
2022-04-27 15:22:47.1050,105965.69
2022-04-27 15:22:48.0770,103739.16
2022-04-27 15:22:49.0500,101697.78
2022-04-27 15:22:50.0220,100422.58
2022-04-27 15:22:50.9950,100422.58
2022-04-27 15:22:51.9690,101632.89
2022-04-27 15:22:52.9410,103689.64
2022-04-27 15:22:53.9140,105733.54
2022-04-27 15:22:54.8880,105824.02
2022-04-27 15:22:55.8590,105824.02
2022-04-27 15:22:56.8310,105514.34
2022-04-27 15:22:57.8060,104483.01
